Rank,Player Name,Combined Rating,Seasons Played,S8 Rating,S11 Rating,S12 Rating,Consistency Bonus %,Division Avg Score,All Names Used
365,Syndicate50,39.75,S8,265.00,,,0,,Syndicate50
366,coopfromdastoop,39.75,S12,,,63.09,5,3.0,coopfromdastoop
367,That Shark Bitch,39.69,S12,,,63.00,5,3.0,That Shark Bitch
368,eR4Ticate13,39.46,S12+S8,114.00,,34.14,5,3.0,eR4Ticate13
369,AverageDrae,39.31,S12+S8,141.00,,27.14,5,4.0,AverageDrae
370,Thunder.,39.21,S12,,,59.41,10,6.0,Thunder.
371,@Arise__FPS,39.05,S11,,115.70,,35,9.0,@Arise__FPS
372,YouForRealDiggin,38.53,S12,,,58.38,10,6.0,YouForRealDiggin
373,Addaxッ,38.20,S12,,,60.63,5,3.0,Addaxッ
374,SlyTitan,38.17,S11,,113.10,,35,9.0,SlyTitan
375,Wolfer,37.83,S11+S8,111.00,65.00,,15,8.0,Wolfer
376,Void-Yogurts,37.83,S11+S12,,1.95,59.24,5,3.5,"Apogaeon, Void-Yogurts"
377,TU The Giggler,37.77,S12,,,59.96,5,3.0,TU The Giggler
378,Jinkx,37.35,S8,249.00,,,0,,Jinkx
379,Huntingfool,36.93,S12,,,55.95,10,5.0,Huntingfool
380,Pxrmafrxstt,36.86,S11,,109.20,,35,9.0,Pxrmafrxstt
381,jo_morales7,36.75,S12+S8,106.00,,29.19,10,5.0,jo_morales7
382,Monty,36.56,S12,,,55.40,10,5.0,Monty
383,Puppygirl_UwU,36.55,S12,,,58.02,5,4.0,Puppygirl_UwU
384,Woelkie,36.48,S12,,,57.90,5,4.0,Woelkie
385,@BlindBeastly,36.47,S12,,,57.88,5,4.0,@BlindBeastly
386,ntROZE,36.45,S11+S12,,20.15,44.43,15,7.0,"F5 | ntROZE, ntROZE"
387,The Corrupt Teacher,36.39,S12,,,55.14,10,5.0,The Corrupt Teacher
388,BaM_Clutch,36.39,S12+S8,153.00,,19.51,5,4.0,BaM_Clutch
389,FALN | JohnnyK,36.38,S12,,,57.75,5,4.0,FALN | JohnnyK
390,XEL.Bpsword.Twitch,36.25,S12,,,54.92,10,5.0,XEL.Bpsword.Twitch
391,AI Conger,36.19,S12,,,54.84,10,5.0,AI Conger
392,m2,36.03,S12+S8,121.00,,24.34,10,5.0,m2
393,Quip,35.55,S8,237.00,,,0,,Quip
394,zCrackdown,35.54,S11,,105.30,,35,9.0,zCrackdown
395,stefq_,35.38,S12,,,53.61,10,6.0,stefq_
396,EvilHowell,35.28,S12,,,53.46,10,6.0,EvilHowell
397,ebokfps,35.28,S12,,,53.45,10,5.0,ebokfps
398,§eren,35.27,S12,,,53.44,10,5.0,§eren
399,Shoya,35.09,S12,,,53.17,10,6.0,Shoya
400,CubanoBread,35.04,S12,,,53.09,10,6.0,CubanoBread
401,AngryS0da,34.98,S12+S8,132.00,,22.52,5,3.0,AngryS0da
402,@SonnyD_,34.77,S12,,,55.19,5,3.0,@SonnyD_
403,LilMissGallop,34.77,S12,,,55.19,5,3.0,LilMissGallop
404,snowyday_,34.69,S12+S8,181.00,,9.82,5,3.0,snowyday_
405,JFairo,34.59,S12,,,52.40,10,6.0,JFairo
406,bookworm669,34.03,S12,,,51.56,10,6.0,bookworm669
407,Chudbudwalker,33.69,S12+S8,120.00,,23.47,5,3.0,Chudbudwalker
408,Gachu,33.63,S12,,,53.38,5,4.0,Gachu
409,AUTHOR,33.60,S8,224.00,,,0,,AUTHOR
410,asome005,33.45,S8,223.00,,,0,,asome005
411,I_am_that_guy_59,33.45,S8,223.00,,,0,,I_am_that_guy_59
412,Heishi,33.38,S12,,,50.57,10,5.0,Heishi
413,Skyy_NSU,33.37,S12,,,52.97,5,3.0,Skyy_NSU
414,Lawlipawp,33.15,S8,221.00,,,0,,Lawlipawp
415,JRobx,32.84,S12,,,52.13,5,4.0,JRobx
416,KindKitten13,32.70,S8,218.00,,,0,,KindKitten13
417,Regen,32.70,S8,218.00,,,0,,Regen
418,MrJ620,32.55,S12,,,51.66,5,4.0,MrJ620
419,xxDaji,32.50,S12,,,51.58,5,4.0,xxDaji
420,littlehj,32.46,S12,,,51.52,5,4.0,littlehj
421,EMB Loko,32.38,S12,,,51.40,5,4.0,EMB Loko
422,Chillzz-v4,32.38,S12,,,51.40,5,4.0,Chillzz-v4
423,DmanLOC,32.10,S12,,,48.64,10,5.0,DmanLOC
424,akuity,32.05,S12,,,48.56,10,6.0,akuity
425,I JoJoo I,31.90,S12,,,48.34,10,5.0,I JoJoo I
426,c!,31.63,S12,,,45.84,15,8.0,c!
427,Bruja,31.62,S12+S8,111.00,,22.43,5,3.0,"Keosha, Bruja"
428,LEAD,31.48,S12,,,47.69,10,5.0,LEAD
429,sawabawa_ttv,31.37,S12,,,47.53,10,6.0,sawabawa_ttv
430,ThisIsMig | Twitch,31.35,S8,209.00,,,0,,ThisIsMig | Twitch
431,Gee_Spree,31.20,S8,208.00,,,0,,Gee_Spree
432,YinSlayys,31.15,S12,,,47.20,10,6.0,YinSlayys
433,B-Cup connoisseur,30.99,S12,,,46.95,10,5.0,B-Cup connoisseur
434,African_shoot_Gun,30.84,S12+S8,108.00,,21.95,5,3.0,"addedayo, African_shoot_Gun"
435,FSU_TacticalMyst,30.75,S8,205.00,,,0,,FSU_TacticalMyst
436,xerpentss,30.61,S12,,,46.39,10,6.0,xerpentss
437,Skratchd_,30.60,S8,204.00,,,0,,Skratchd_
438,hxted,30.49,S12,,,46.20,10,6.0,hxted
439,the new CJ,30.30,S12,,,45.90,10,6.0,the new CJ
440,horizon bhops,29.95,S12,,,45.38,10,6.0,horizon bhops
441,iiNovationii,29.85,S8,199.00,,,0,,iiNovationii
442,CJtoSmooth,29.79,S12,,,45.13,10,6.0,CJtoSmooth
443,hcmeeks,29.54,S12,,,46.88,5,4.0,hcmeeks
444,Zorro,29.53,S11,,102.70,,15,8.0,Zorro
445,Mango Burger,29.45,S12,,,46.75,5,4.0,Mango Burger
446,Doctor Eloc,29.40,S8,196.00,,,0,,Doctor Eloc
447,rBronxasaur,29.10,S12,,,44.09,10,5.0,rBronxasaur
448,FoxTrot,29.09,S12,,,44.08,10,5.0,FoxTrot
449,splitbomb33,28.75,S12,,,45.63,5,4.0,splitbomb33
450,ButterMyBreadWB,28.65,S8,191.00,,,0,,ButterMyBreadWB
451,buug,28.41,S12,,,41.17,15,8.0,buug
452,@NotBrooklynn,28.40,S12,,,45.08,5,4.0,@NotBrooklynn
453,RiverDragonz,28.29,S12,,,42.86,10,5.0,RiverDragonz
454,Interstellar Duck,28.20,S12,,,44.77,5,4.0,Interstellar Duck
455,furryCheese,28.03,S11,,97.50,,15,8.0,furryCheese
456,zewski,27.99,S12,,,44.42,5,4.0,zewski
457,Big Daddy Busch,27.85,S12,,,44.20,5,3.0,Big Daddy Busch
458,ICRS JustTreaOnTwitch,27.84,S12,,,42.19,10,6.0,ICRS JustTreaOnTwitch
459,Xiph,27.84,S12,,,42.19,10,6.0,Xiph
460,CompasThepigeon,27.82,S12,,,44.15,5,3.0,CompasThepigeon
